team,elo
Spain,2157
Argentina,2114
France,2063
England,2021
Brazil,1991
Portugal,1986
Colombia,1982
Netherlands,1948
Ecuador,1938
Germany,1932
Norway,1914
Croatia,1911
Turkey,1910
Japan,1906
Belgium,1893
Uruguay,1892
Switzerland,1891
Mexico,1875
Senegal,1867
Paraguay,1833
Austria,1830
Morocco,1827
Canada,1788
Scotland,1782
Australia,1777
Iran,1772
Algeria,1760
South Korea,1758
Czechia,1740
Panama,1730
United States,1726
Uzbekistan,1714
Sweden,1712
Egypt,1696
Ivory Coast,1695
Jordan,1680
DR Congo,1661
Iraq,1618
Tunisia,1628
Bosnia and Herzegovina,1595
Cape Verde,1578
Saudi Arabia,1569
New Zealand,1562
Haiti,1548
Ghana,1510
South Africa,1518
Curacao,1434
Qatar,1421
